Ticket ID,EPIC #,EPIC Name,Title,Type,Priority,Story Points,Suggested Sprint,Depends On,Status,API Endpoint,Description,Acceptance Criteria
1.1,1,Infrastructure & Foundation,Database Schema & Migrations,Infrastructure,High,5,Sprint 1,—,To Do,—,"Create and apply all database migrations. Tables: R2PRequest, R2PStateTransition, R2PAcknowledgement, R2PResponse, R2PPayment, EventSubscription, AuditStore, OutboxEvent. R2PRequest.version column for optimistic locking. AuditStore is insert-only.","All 8 tables created with correct columns and constraints | Migrations are idempotent and reversible | R2PRequest.version supports optimistic locking | AuditStore enforces insert-only at DB level | Migrations run cleanly on a fresh database"
1.2,1,Infrastructure & Foundation,ISO 20022 Validator Middleware,Backend API,High,5,Sprint 1,1.1,To Do,—,"Stateless middleware validating inbound and outbound messages against ISO 20022 XSD schemas. Schemas: pain.013 (request initiation), pain.014 (response), camt.087 (modification). Returns { code: VALIDATION_ERROR, fields: [...] } on failure. Versioned independently of business logic.","Validates pain.013 / pain.014 / camt.087 schemas | Returns 400 VALIDATION_ERROR with field-level detail | Valid messages pass through unchanged | Schema version is configurable without touching business logic | All unit tests pass"
1.3,1,Infrastructure & Foundation,Address Directory (POC Stub),Backend API,High,3,Sprint 1,1.1,To Do,GET /internal/address-directory/resolve,"In-memory static map resolving payer proxy (email / phone / alias) to participant endpoint and account reference. Seeded with 5 test participants. Output: { participantId, participantEndpoint, accountRef }.","Resolves email / phone / alias for all 5 seeded participants | Returns 404 for unknown proxy values | TTL field present on all resolved entries | All unit tests pass"
2.1,2,Payee Journey — Request Initiation,POST /r2p/requests — Create Request,Backend API,High,5,Sprint 2,"1.2, 1.3",To Do,POST /r2p/requests,"Core request creation. Validates via ISO 20022 Validator, resolves payer address, generates UUID v7 transaction ID, enforces idempotency via idempotencyKey, persists request, transitions status to created. Input: { payerId, payeeId, amount, currency, dueDate, expiryTimestamp, remittanceInfo, idempotencyKey }.","Returns r2pId (UUID v7) and status created on valid input | Duplicate idempotencyKey returns 409 DUPLICATE_REQUEST | Invalid input returns 400 VALIDATION_ERROR with field detail | Request persisted to R2PRequest table | All unit tests pass"
2.2,2,Payee Journey — Request Initiation,PATCH /r2p/requests/{id} — Modify Request,Backend API,Medium,3,Sprint 2,2.1,To Do,PATCH /r2p/requests/{r2pId},"Modify permissible fields before payer accepts. State guard: only created or sent requests may be modified. Modifiable: amount / dueDate / expiryTimestamp / remittanceInfo.","Permissible fields updated for requests in created or sent state | delivered or later state returns 409 INVALID_STATE_TRANSITION | 404 returned for unknown r2pId | Modification recorded in R2PStateTransition and AuditStore | All unit tests pass"
2.3,2,Payee Journey — Request Initiation,DELETE /r2p/requests/{id} — Cancel Request,Backend API,Medium,3,Sprint 2,2.1,To Do,DELETE /r2p/requests/{r2pId},"Cancel an active request before acceptance. State guard: only created / sent / delivered states are cancellable. Triggers participant notification via Event Publisher.","Request transitions to cancelled from valid pre-acceptance states | Post-acceptance states return 409 INVALID_STATE_TRANSITION | Cancellation recorded in R2PStateTransition and AuditStore | Receiving participant notified | All unit tests pass"
3.1,3,Routing Journey — Message Delivery,Routing Engine — HTTPS Delivery,Backend API,High,5,Sprint 3,2.1,To Do,—,"Delivers R2P message to receiving participant via HTTPS POST. Transitions status from created to sent on dispatch. Records delivery state (pending / delivered / failed) in AuditStore. Internal trigger: called by R2P Request Service after creation.","Request delivered to receiving participant via HTTPS POST | Status transitions to sent immediately on dispatch | Delivery attempt recorded in AuditStore with timestamp | HTTP 2xx response marks delivery as delivered | All unit tests pass"
3.2,3,Routing Journey — Message Delivery,Routing Engine — Retry Logic & Failure State,Backend API,High,3,Sprint 3,3.1,To Do,—,"Exponential backoff retry on delivery failure. Up to 3 attempts / max 30s total. After retry exhaustion: status = failed; originating participant notified of rejection.","Retries up to 3 times with exponential backoff | Total retry window does not exceed 30 seconds | After 3 failures status transitions to failed | Originating participant notified of failed delivery | All unit tests pass"
4.1,4,Payer Journey — Acknowledgement & Response,POST /r2p/requests/{id}/acknowledge,Backend API,High,3,Sprint 3,3.1,To Do,POST /r2p/requests/{r2pId}/acknowledge,"Receiving participant acknowledges delivery. Records timestamped ack, transitions state from sent to delivered, emits acknowledged event to Event Publisher. Input: { participantId, receivedAt }.","Status transitions to delivered on valid acknowledgement | Ack persisted to R2PAcknowledgement table with timestamp | 409 ALREADY_ACKNOWLEDGED on duplicate | acknowledged event emitted to Event Publisher | All unit tests pass"
4.2,4,Payer Journey — Acknowledgement & Response,POST /r2p/requests/{id}/respond,Backend API,High,5,Sprint 4,4.1,To Do,POST /r2p/requests/{r2pId}/respond,"Receives payer response: accept / decline / defer. Accept triggers Payment Execution Engine. Decline and defer transition state and notify originating participant. Input: { responseType, participantId, respondedAt }.","Accept triggers Payment Execution Engine | Decline / defer transitions state and notifies originating participant | Response persisted to R2PResponse table | Originating participant notified in real time via Event Publisher | All unit tests pass"
4.3,4,Payer Journey — Acknowledgement & Response,Response Validation,Backend API,High,3,Sprint 4,4.2,To Do,—,"Enforces preconditions before a response is accepted: request must be in delivered state / not expired / amount within constraints. Rejects invalid responses with structured error codes.","Responses to expired requests return 409 EXPIRED | Responses to non-delivered requests return 409 INVALID_STATE_TRANSITION | Amount out of range returns 400 VALIDATION_ERROR | All validation logic covered by unit tests | All unit tests pass"
5.1,5,Payment Journey — Execution & Settlement,Payment Execution Engine — Stubbed RTR Submission,Backend API,High,5,Sprint 4,4.2,To Do,POST /r2p/payments,"Triggered by accepted R2P response. Constructs real-time payment referencing R2P transaction ID. Submits to stubbed settlement rail (auto-returns success after 500ms). Transitions status to payment_processing. Input: { r2pId, paymentAmount, currency, payerId, payeeId }.","Payment message created with R2P transaction ID as linkage reference | Status transitions to payment_processing on submission | Stubbed settlement rail responds with success after 500ms | paymentId and r2pId persisted to R2PPayment table | All unit tests pass"
5.2,5,Payment Journey — Execution & Settlement,Settlement Confirmation Handling,Backend API,High,3,Sprint 4,5.1,To Do,—,"Handles settlement rail callback. Success → status = paid + emit paid event to both participants. Failure → status = payment_failed + notify both participants. All transitions recorded in R2PStateTransition and AuditStore.","Settlement success transitions status to paid | Settlement failure transitions status to payment_failed | Both participants notified via Event Publisher | All transitions recorded in R2PStateTransition and AuditStore | All unit tests pass"
6.1,6,Lifecycle & Observability,GET /r2p/requests/{id} — Status Query,Backend API,Medium,2,Sprint 2,2.1,To Do,GET /r2p/requests/{r2pId},"Returns current status and full field set for a given R2P request. Available to both originating and receiving participants. Output: { r2pId, status, payerId, payeeId, amount, currency, dueDate, expiryTimestamp, createdAt, updatedAt }.","Returns correct current status and all fields for a known r2pId | Returns 404 for unknown r2pId | All unit tests pass"
6.2,6,Lifecycle & Observability,GET /r2p/requests/{id}/history — State History,Backend API,Medium,2,Sprint 2,2.1,To Do,GET /r2p/requests/{r2pId}/history,"Returns full ordered state transition history. Each entry includes fromState / toState / timestamp / actor. Output: { r2pId, transitions: [{ fromState, toState, timestamp, actor }] }.","Returns all state transitions in chronological order | Each entry includes fromState / toState / timestamp / actor | Returns 404 for unknown r2pId | All unit tests pass"
